,index,smiles
257,47179,NC(=O)N/N=C1\C=Cc2ccccc2C1=O
258,47309,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
259,47472,O=P(O)(O)OCC(Cl)(Cl)Cl
260,48295,CCCC[C@H](N)C(=O)O
261,48310,CC(=O)N[C@@H](CC(C)C)C(=O)O
262,48531,O=C(CO)CO
263,48682,Cc1ccc(=O)n(-c2ccccc2)c1
264,48865,Cc1ccc(C(C)C)c(O)c1
265,49101,N[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
266,49306,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
267,49429,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
268,49505,NC12CC3CC(CC(C3)C1)C2
269,50224,CC(C)Nc1ncccn1
270,50279,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O
271,50436,[H][C@]12OC[C@@H](O[N+](=O)[O-])[C@@]1([H])OC[C@@H]2O
272,50572,c1ccc2nc3ccccc3cc2c1
273,50618,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O
274,50770,CC(C)(C)c1ccc(Oc2ccc(N)cn2)cc1
275,50775,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
276,50806,CNC1(C)C2CCC(C2)C1(C)C
277,50889,COc1ccc(OC(C)C(=O)O)cc1
278,51342,CS(=O)(=O)OCCCCOS(C)(=O)=O
279,51509,COC(=O)c1cccnc1
280,51590,OCCNCCO
281,52396,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
282,52416,Oc1cc(O)cc(O)c1
283,52802,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
284,52957,Cc1ncc([N+](=O)[O-])n1CCO
285,53056,Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1
286,53225,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
287,53318,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
288,53819,c1ccc2[nH]c(-c3cscn3)nc2c1
289,54028,OCCN(CCO)CCO
290,54127,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C
291,54150,C[C@@H](O)[C@H](N)C(=O)O
292,54236,O=C1CN2C(=O)CCC2N1
293,54413,NC(=O)NC1NC(=O)NC1=O
294,54488,N[C@H](CO)C(=O)O
295,54497,O=C(OOC(=O)c1ccccc1)c1ccccc1
296,54771,Sc1ncnc2nc[nH]c12
297,55238,NC(=O)c1ccc(I)c([N+](=O)[O-])c1
298,55273,CCN(CC)C(=O)C1(c2ccccc2)CC1CN
299,55430,CC1=CCC2CC1C2(C)C
300,55610,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
301,55668,N[C@H](CC(=O)O)C(=O)O
302,55753,O=C(NO)c1cnc(N2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)nc1
303,55857,c1cncnc1
304,56076,Oc1nc(O)c2nc(O)[nH]c2n1
305,56099,Cc1ncsc1CCCl
306,56128,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
307,56159,NNCCc1ccccc1
308,56348,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)c(Cl)c1
309,56476,CN1CCC[C@H]1c1cccnc1
310,56952,CCC1(C)CC(=O)NC1=O
311,57109,NC(=O)OCC(COC(N)=O)c1ccccc1
312,57361,Nc1ccc2cc3ccc(N)cc3nc2c1
313,57809,CON
314,58058,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
315,58300,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O
316,58617,CC(C)NNC(=O)c1ccncc1
317,58846,N[C@@H](CN(O)N=O)C(=O)O
318,58856,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
319,58946,N=C(N)NCc1cccc(F)c1
320,59317,CCCCCCCCO
321,59374,C[C@]12CCC3C(C(=O)C=C4C[C@@H](O)CC[C@@]43C)C1CCC2=O
322,59435,C=C
323,59519,C=CCOc1ccc(CC(=O)O)cc1Cl
324,59864,CSCC[C@H](N)C(=O)O
325,60022,O=C1CC[C@@H](C(=O)O)N1
326,60224,CCN(CC)CCc1nc(-c2ccccc2)no1
327,60302,O=C(O)[C@H](O)[C@@H](O)C(=O)O
328,60549,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
329,61020,C#CCN[C@@H]1CCc2ccccc21
330,61049,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O
331,61196,c1cc[nH]c1
332,61222,CCN(CC)C(=O)COC(=O)/C=C/C(=O)OC
333,61313,C=CCl
334,61426,NC(=O)[C@@H]1CC[C@H](c2ccc(OCc3ccccc3F)cc2)N1
335,61541,CC1(O)CCC(C(C)(C)O)CC1
336,61593,O=c1ccc2cc3ccoc3cc2o1
337,61700,CCCl
338,61971,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
339,62049,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@H](O)CC3=CC[C@@]21[H]
340,62396,CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO
341,62599,C[N+](C)(C)CCOP(=O)([O-])OC[C@H](O)CO
342,62795,CC(N)C(O)c1ccccc1
343,62814,Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1
344,62829,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1
345,62892,Oc1cc(Cc2ccccc2)nc(S)n1
346,63309,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@]3(C)CCC(=O)C=C3C=C[C@@]21[H]
347,63423,CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1
348,63566,CN[C@H](C)CCC=C(C)C
349,63650,O=C(O)/C=C/c1ccc(O)c(O)c1
350,63880,CC(C)O
351,64031,OCl
352,64089,C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12
353,64127,CCN(CC)C(=S)SSC(=S)N(CC)CC
354,64210,NCCC(=O)NCCSSCCNC(=O)CCN
355,64221,N[C@H]1C[C@@H](C(=O)O)CC1=C(F)F
356,64349,CN1Cc2c(N)cccc2C(c2ccccc2)C1
357,64576,CN(C)CCc1c[nH]c2ccccc12
358,64686,O=C=O
359,64749,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
360,64886,N[C@@H](CS)C(=O)O
361,64947,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O
362,65057,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O
363,65145,CN1CCCC1c1cccnc1
364,65232,CC(C)(O)C(Cl)(Cl)Cl
365,65256,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
366,65264,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1
367,65276,O=C1N[C@H](C(=O)O)CS1
368,65512,CNC1(c2ccccc2Cl)CCCCC1=O
369,65644,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1
370,65670,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
371,65723,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
372,65889,Nc1nc(=O)[nH]cc1F
373,65907,CCCN[C@H]1CCc2nc(N)sc2C1
374,65987,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O
375,66008,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
376,66056,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O
377,66113,COc1cc(C(C)=O)ccc1O
378,66137,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
379,66235,c1cnccn1
380,66297,CC1OC(C)OC(C)O1
381,66313,COC1=C(C)C(=O)C2=C(C1=O)[C@@H](COC(N)=O)[C@@]1(OC)[C@H]3N[C@H]3CN21
382,66381,NCCc1c[nH]c2ccc(O)cc12
383,66390,O=C(O)CCCCC1CCSS1
384,66405,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
385,66438,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
386,66504,O=C(O)c1cc(O)c(O)c(O)c1
387,66528,Cc1cc(=O)oc2cc(O)ccc12
388,66590,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
389,66616,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
390,66650,Oc1cccc(O)c1O
391,66702,CC(C)(S)[C@@H](N)C(=O)O
392,66743,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
393,66758,O=C(O)/C=C/c1ccc(O)c(O)c1
394,66799,ClC=C(Cl)Cl
395,66838,NCc1ccc(S(N)(=O)=O)cc1
396,66880,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
397,66954,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
398,66955,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
399,66968,O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12
400,67001,[H]O[H]
401,67031,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
402,67109,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
