"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2109506";"HU3S193";"HU3S193";"Antibody";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL4298082";"RECOMBINANT NEMATODE ANTICOAGULANT PROTEIN C2";"AB 201|AB-201|AB201|NEMATODE ANTICOAGULANT PROTEIN C2|RECOMBINANT NEMATODE ANTICOAGULANT PROTEIN C2|RECOMBINANT NEMATODE ANTICOAGULANT PROTEIN C2 (RNAPC2)|RNAPC2";"Unknown";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL522987";"VESTIPITANT";"GW-597599|GW597599|VESTIPITANT";"Small molecule";"2.0";"491.45";"7";"26";"5.93";"35.58";"2";"1";"1";"3";"N";"0.54";"None";"7.45";"5.33";"5.01";"2";"MOL";"0";"34";"4";"1";"1";"491.1808";"-1.01";"NEUTRAL";"C23H24F7N3O";"Cc1cc(F)ccc1[C@H]1CNCCN1C(=O)N(C)[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1";"SBBYBXSFWOLDDG-JLTOFOAXSA-N"
"CHEMBL2109402";"MM-121";"MM-121|SAR-256212";"Antibody";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL2103847";"TOSEDOSTAT";"CHR 2797|CHR-2797|TOSEDOSTAT";"Small molecule";"2.0";"406.48";"14";"18";"1.86";"124.96";"6";"4";"0";"9";"N";"0.28";"8.61";"None";"2.13";"2.10";"1";"MOL";"0";"29";"8";"4";"0";"406.2104";"0.11";"NEUTRAL";"C21H30N2O6";"CC(C)C[C@@H](C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1)[C@H](O)C(=O)NO";"FWFGIHPGRQZWIW-SQNIBIBYSA-N"
"CHEMBL244243";"SRX246";"SRX246";"Small molecule";"2.0";"771.88";"1";"1";"6.60";"102.50";"6";"1";"2";"11";"N";"0.22";"13.30";"9.62";"5.56";"3.36";"3";"MOL";"0";"56";"10";"1";"2";"771.3608";"-0.75";"BASE";"C43H48F3N5O5";"C[C@@H](NC(=O)[C@@H](CC(=O)N1CCC(N2CCCCC2)CC1)N1C(=O)[C@@H](N2C(=O)OC[C@@H]2c2ccccc2)[C@H]1/C=C/c1ccccc1)c1cccc(C(F)(F)F)c1";"ZPKHVQNRKMCYGL-AFAPVMNMSA-N"
"CHEMBL4297527";"REVAMILAST";"REVAMILAST";"Small molecule";"2.0";"440.19";"2";"2";"4.77";"91.30";"5";"1";"0";"4";"N";"0.36";"12.90";"4.00";"2.52";"2.52";"4";"MOL";"0";"29";"7";"1";"0";"438.9938";"-0.99";"NEUTRAL";"C18H9Cl2F2N3O4";"O=C(Nc1c(Cl)c[n+]([O-])cc1Cl)c1ccc(OC(F)F)c2oc3ccncc3c12";"IXQHNBONEVULTL-UHFFFAOYSA-N"
"CHEMBL3682589";"ELISMETREP";"ELISMETREP|MT-8554";"Small molecule";"2.0";"542.54";"1";"1";"6.10";"96.80";"5";"1";"2";"8";"N";"0.29";"3.52";"0.63";"6.65";"3.28";"4";"MOL";"0";"38";"7";"1";"2";"542.1123";"-1.04";"ACID";"C27H21F3N2O5S";"O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2ncc3ccccc3c2C2CC2)cc1";"CWEFDWIKLABKBX-UHFFFAOYSA-N"
"CHEMBL1614713";"CC-401";"CC-401";"Small molecule";"2.0";"388.48";"293";"300";"3.88";"82.72";"5";"2";"0";"6";"N";"0.52";"9.97";"8.86";"2.69";"1.48";"4";"MOL";"0";"29";"7";"2";"0";"388.2012";"-1.48";"BASE";"C22H24N6O";"c1cc(OCCN2CCCCC2)cc(-c2n[nH]c3ccc(-c4nnc[nH]4)cc23)c1";"XDJCLCLBSGGNKS-UHFFFAOYSA-N"
"CHEMBL3545035";"REVEXEPRIDE";"(-)-REVEXEPRIDE|R-149402|R149402|REVEXEPRIDE|Revexepride|SPD-557|SPD557|SSP-002358";"Small molecule";"2.0";"425.96";"";"";"2.08";"97.05";"6";"3";"0";"7";"N";"0.46";"None";"9.03";"0.87";"-0.77";"1";"MOL";"0";"29";"7";"4";"0";"425.2081";"-0.41";"BASE";"C21H32ClN3O4";"COCCCN1CC[C@@H](CNC(=O)c2cc(Cl)c(N)c3c2OC(C)(C)C3)[C@H](O)C1";"FOUUNSGQVBGYQM-SUMWQHHRSA-N"
"CHEMBL3545312";"RAVIDASVIR HYDROCHLORIDE";"BI 238630 CL2|BI-238630-CL2|BL-238630 DIHYDROCHLORIDE|PPI-668|RAVIDASVIR DIHYDROCHLORIDE|RAVIDASVIR HYDROCHLORIDE";"Small molecule";"2.0";"835.83";"";"";"6.86";"174.64";"8";"4";"2";"10";"N";"0.12";"11.34";"5.09";"5.47";"5.47";"5";"MOL";"0";"56";"14";"4";"3";"762.3853";"-0.58";"NEUTRAL";"C42H52Cl2N8O6";"COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3cc(-c4ccc5[nH]c([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5c4)ccc3c2)c[nH]1)C(C)C.Cl.Cl";"JYLMWUZJMRNMDA-SPRBZRACSA-N"
"CHEMBL3545048";"AMG-319";"AMG-319|AMG319|J3.391.906I";"Small molecule";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
